,PublishedYear,C1N0,numpub_sum,numfacility_avg
0,1957.0,0,1,1.0
1,1964.0,0,1,1.0
2,1965.0,0,1,1.0
3,1967.0,0,1,1.0
4,1968.0,0,4,1.0
5,1969.0,0,1,1.0
6,1970.0,0,4,1.0
7,1971.0,0,23,1.0
8,1972.0,0,21,1.0
9,1973.0,0,5,1.0
10,1974.0,0,11,1.0
11,1975.0,0,8,1.0
12,1976.0,0,13,1.0
13,1977.0,0,10,1.0
14,1978.0,0,12,1.0
15,1979.0,0,15,1.0
16,1980.0,0,26,1.0
17,1981.0,0,14,1.0
18,1982.0,0,9,1.0
19,1983.0,0,27,1.0
20,1984.0,0,37,1.0
21,1985.0,0,62,1.0
22,1986.0,0,167,1.0
23,1986.0,1,1,2.0
24,1987.0,0,219,1.0
25,1987.0,1,1,2.0
26,1988.0,0,269,1.0
27,1988.0,1,1,2.0
28,1989.0,0,311,1.0
29,1989.0,1,1,2.0
30,1990.0,0,300,1.0
31,1991.0,0,329,1.0
32,1991.0,1,1,2.0
33,1992.0,0,438,1.0
34,1992.0,1,4,2.0
35,1993.0,0,481,1.0
36,1994.0,0,526,1.0
37,1994.0,1,5,2.0
38,1995.0,0,754,1.0
39,1995.0,1,7,2.0
40,1996.0,0,747,1.0
41,1996.0,1,7,2.0
42,1997.0,0,916,1.0
43,1997.0,1,16,2.0
44,1998.0,0,1070,1.0
45,1998.0,1,14,2.0
46,1999.0,0,1296,1.0
47,1999.0,1,31,2.0
48,2000.0,0,1465,1.0
49,2000.0,1,32,2.0
50,2001.0,0,1856,1.0
51,2001.0,1,44,2.022727272727273
52,2002.0,0,1869,1.0
53,2002.0,1,48,2.0416666666666665
54,2003.0,0,1928,1.0
55,2003.0,1,43,2.0
56,2004.0,0,2616,1.0
57,2004.0,1,84,2.0
58,2005.0,0,3791,1.0
59,2005.0,1,206,2.0485436893203883
60,2006.0,0,4707,1.0
61,2006.0,1,302,2.0728476821192054
62,2007.0,0,5442,1.0
63,2007.0,1,367,2.076294277929155
64,2008.0,0,5571,1.0
65,2008.0,1,506,2.059288537549407
66,2009.0,0,6184,1.0
67,2009.0,1,629,2.0588235294117645
68,2010.0,0,6989,1.0
69,2010.0,1,735,2.0884353741496597
70,2011.0,0,7714,1.0
71,2011.0,1,780,2.0615384615384613
72,2012.0,0,8093,1.0
73,2012.0,1,874,2.077803203661327
74,2013.0,0,9288,1.0
75,2013.0,1,1227,2.0863895680521596
76,2014.0,0,9967,1.0
77,2014.0,1,1268,2.0954258675078865
78,2015.0,0,10175,1.0
79,2015.0,1,1319,2.097043214556482
80,2016.0,0,10719,1.0
81,2016.0,1,1426,2.11781206171108
82,2017.0,0,10923,1.0
83,2017.0,1,1383,2.1026753434562546
84,2018.0,0,11948,1.0
85,2018.0,1,1592,2.1149497487437188
86,2019.0,0,12546,1.0
87,2019.0,1,1688,2.137440758293839
88,2020.0,0,13222,1.0
89,2020.0,1,1781,2.1443009545199327
90,2021.0,0,12517,1.0
91,2021.0,1,1581,2.132194813409235
92,2022.0,0,12152,1.0
93,2022.0,1,1434,2.129009762900976
94,2023.0,0,11151,1.0
95,2023.0,1,1265,2.1209486166007907
96,2024.0,0,995,1.0
97,2024.0,1,75,2.1066666666666665
