,PublishedYear,num_combin,num_new_combin
0,1986.0,1,1.0
1,1987.0,1,1.0
2,1988.0,1,0.0
3,1989.0,1,1.0
4,1991.0,1,0.0
5,1992.0,1,0.0
6,1994.0,4,3.0
7,1995.0,3,1.0
8,1996.0,2,0.0
9,1997.0,6,3.0
10,1998.0,9,7.0
11,1999.0,12,4.0
12,2000.0,12,3.0
13,2001.0,16,8.0
14,2002.0,20,4.0
15,2003.0,22,5.0
16,2004.0,29,11.0
17,2005.0,49,18.0
18,2006.0,59,17.0
19,2007.0,57,6.0
20,2008.0,74,17.0
21,2009.0,110,33.0
22,2010.0,125,31.0
23,2011.0,125,25.0
24,2012.0,146,18.0
25,2013.0,165,28.0
26,2014.0,187,26.0
27,2015.0,200,10.0
28,2016.0,216,14.0
29,2017.0,211,19.0
30,2018.0,233,29.0
31,2019.0,248,20.0
32,2020.0,255,15.0
33,2021.0,257,17.0
34,2022.0,238,12.0
35,2023.0,218,4.0
36,2024.0,42,0.0
